state,smoothing,residuals,variance,ac1,protocol
-5.0909214,-5.691857119893728,0.6009357198937275,,,knockout_0
-5.590761,-5.697249252548724,0.10648825254872474,,,knockout_0
-4.3928075,-5.7025470876523645,1.3097395876523645,,,knockout_0
-5.001144,-5.707755018435414,0.7066110184354137,,,knockout_0
-5.853362553999999,-5.712883282162209,-0.14047927183779052,,,knockout_0
-7.0449986,-5.717946790715935,-1.3270518092840655,,,knockout_0
-6.769461,-5.722960015585261,-1.046500984414739,,,knockout_0
-6.0061994,-5.727932392139798,-0.27826700786020186,,,knockout_0
-5.2186284,-5.732868249770514,0.5142398497705143,,,knockout_0
-5.462344,-5.737770247105431,0.27542624710543073,,,knockout_0
-6.441034,-5.742643275068045,-0.6983907249319552,,,knockout_0
-6.2253537,-5.747493412030189,-0.4778602879698113,,,knockout_0
-5.3977184,-5.752323803996673,0.35460540399667373,,,knockout_0
-5.0119824,-5.757135084989401,0.7451526849894012,,,knockout_0
-5.751208,-5.761929253542063,0.010721253542063103,,,knockout_0
-6.299641,-5.766711308735111,-0.5329296912648891,,,knockout_0
-5.1377015,-5.771486419306675,0.6337849193066747,,,knockout_0
-6.2259154,-5.776258078667651,-0.4496573213323485,,,knockout_0
-5.888462268,-5.7810309722535616,-0.10743129574643806,,,knockout_0
-5.9798007,-5.785808213152778,-0.1939924868472218,,,knockout_0
-6.7652183,-5.790591289772288,-0.9746270102277119,,,knockout_0
-5.1233354,-5.795379117575397,0.6720437175753968,,,knockout_0
-6.5789948,-5.8001662646544005,-0.7788285353455997,,,knockout_0
-5.6806216,-5.804946557071527,0.12432495707152658,,,knockout_0
-5.2734566,-5.809709269527535,0.5362526695275349,,,knockout_0
-6.468514,-5.81444100904767,-0.6540729909523302,,,knockout_0
-5.469773,-5.819126810563818,0.34935381056381765,,,knockout_0
-6.179198,-5.823745198381941,-0.3554528016180596,,,knockout_0
-6.065918,-5.828268975067265,-0.2376490249327352,,,knockout_0
-5.5975466,-5.832660120694296,0.2351135206942958,,,knockout_0
-6.065373,-5.836865529341477,-0.22850747065852328,,,knockout_0
-6.0354347,-5.8408133948885,-0.19462130511149933,,,knockout_0
-4.5291467,-5.844402903566017,1.3152562035660171,,,knockout_0
-5.3133683,-5.847497933700497,0.5341296337004975,,,knockout_0
-5.564119,-5.849940641678024,0.28582164167802393,,,knockout_0
-6.6567144,-5.851597630276074,-0.8051167697239263,,,knockout_0
-5.624663,-5.852503525967004,0.22784052596700377,,,knockout_0
-7.1691685,-5.853480181554583,-1.3156883184454164,,,knockout_0
-5.847175,-5.8543675218432485,0.007192521843248478,,,knockout_0
-5.757969,-5.855157418231473,0.09718841823147262,,,knockout_0
-5.901239,-5.855763421601451,-0.04547557839854921,,,knockout_0
-5.2806745,-5.856030830791185,0.5753563307911849,,,knockout_0
-5.827102404,-5.85576870204909,0.0286662980490906,,,knockout_0
-5.1952763,-5.8548528045636115,0.6595765045636117,,,knockout_0
-5.491195,-5.853232148906558,0.36203714890655814,,,knockout_0
-6.4488907,-5.850931096417981,-0.5979596035820185,,,knockout_0
-6.612668,-5.848006685018699,-0.7646613149813009,,,knockout_0
-5.610873,-5.844520923872373,0.23364792387237365,,,knockout_0
-5.567277,-5.840582187839775,0.2733051878397754,,,knockout_0
-6.0087886,-5.836311546292465,-0.17247705370753508,,,knockout_0
-6.115308,-5.831787679174687,-0.2835203208253123,,,knockout_0
-7.0198936,-5.827048870163888,-1.1928447298361116,,,knockout_0
-5.180339,-5.822091714656107,0.6417527146561071,,,knockout_0
-5.49423,-5.816934642276151,0.32270464227615125,,,knockout_0
-5.136908,-5.8115935302646635,0.6746855302646635,,,knockout_0
-6.483488,-5.806103984627982,-0.6773840153720183,,,knockout_0
-6.375791,-5.800495871432846,-0.5752951285671548,,,knockout_0
-6.299871,-5.794799059181837,-0.5050719408181639,,,knockout_0
-6.1367083,-5.789049706980087,-0.3476585930199123,,,knockout_0
-5.4120464,-5.783249950448335,0.3712035504483344,,,knockout_0
-5.395937,-5.777405822621938,0.3814688226219376,,,knockout_0
-5.849981,-5.771547311358822,-0.07843368864117739,,,knockout_0
-5.8582854,-5.765701591432661,-0.09258380856733872,,,knockout_0
-5.7148857,-5.75992215772831,0.04503645772831,,,knockout_0
-6.150818,-5.754198434037292,-0.3966195659627081,,,knockout_0
-5.939099354,-5.748523967653119,-0.19057538634688065,,,knockout_0
-5.8670425,-5.742943370860718,-0.12409912913928256,,,knockout_0
-6.7681355,-5.737529066563135,-1.0306064334368648,,,knockout_0
-5.948548,-5.73237786934739,-0.2161701306526096,,,knockout_0
-5.4622912,-5.727559258969192,0.26526805896919203,,,knockout_0
-5.1076245,-5.7231263564107815,0.6155018564107815,,,knockout_0
-5.93545,-5.719101790376771,-0.21634820962322898,,,knockout_0
